# Lifted from www.sisweb.com
# https://www.sisweb.com/referenc/source/exactmas.htm
Name	Symbol	Mass	Abundance
Zirconium	Zr(94)	93.906319	17.33
Molybdenum	Mo(95)	94.905838	15.92
Molybdenum	Mo(96)	95.904676	16.68
Ruthenium	Ru(96)	95.907596	5.52
Zirconium	Zr(96)	95.908272	2.78
Molybdenum	Mo(97)	96.906018	9.55
Ruthenium	Ru(98)	97.905287	1.88
Molybdenum	Mo(98)	97.905405	24.13
Ruthenium	Ru(99)	98.905937	12.70
Ruthenium	Ru(100)	99.904218	12.60
Molybdenum	Mo(100)	99.907473	9.63
Ruthenium	Ru(101)	100.905581	17.00
Ruthenium	Ru(102)	101.904348	31.60
Palladium	Pd(102)	101.905609	1.02
Rhodium	Rh(103)	102.905503	100.00
Palladium	Pd(104)	103.904026	11.14
Ruthenium	Ru(104)	103.905422	18.70
Palladium	Pd(105)	104.905075	22.33
Palladium	Pd(106)	105.903475	27.33
Cadmium	Cd(106)	105.906461	1.25
Silver	Ag(107)	106.905095	51.84
Palladium	Pd(108)	107.903894	26.46
Cadmium	Cd(108)	107.904186	0.89
Silver	Ag(109)	108.904754	48.16
Cadmium	Cd(110)	109.903007	12.49
Palladium	Pd(110)	109.905169	11.72
Cadmium	Cd(111)	110.904182	12.80
Cadmium	Cd(112)	111.902761	24.13
Tin	Sn(112)	111.904826	0.97
Indium	In(113)	112.904056	4.30
Cadmium	Cd(113)	112.904401	12.22
Tin	Sn(114)	113.902784	0.65
Cadmium	Cd(114)	113.903361	28.73
Tin	Sn(115)	114.903348	0.36
Indium	In(115)	114.903875	95.70
Tin	Sn(116)	115.901744	14.70
Cadmium	Cd(116)	115.904758	7.49
Tin	Sn(117)	116.902954	7.70
Tin	Sn(118)	117.901607	24.30
Tin	Sn(119)	118.903310	8.60
Tin	Sn(120)	119.902199	32.40
Tellurium	Te(120)	119.904021	0.096
Antimony	Sb(121)	120.903824	57.30
Tellurium	Te(122)	121.903055	2.60
Tin	Sn(122)	121.903440	4.60
Antimony	Sb(123)	122.904222	42.70
Tellurium	Te(123)	122.904278	0.91
Tellurium	Te(124)	123.902825	4.82
Tin	Sn(124)	123.905271	5.60
Xenon	Xe(124)	123.905894	0.10
Tellurium	Te(125)	124.904435	7.14
Tellurium	Te(126)	125.903310	18.95
